policy_loss,serial_timesteps,time_elapsed,policy_entropy,fps,approxkl,value_loss,ep_reward_mean,n_updates,clipfrac,explained_variance,total_timesteps
-0.001890788,256,3.361701965332031e-05,2.8376846,23,0.00058768346,227.36209,1.7791253480720282,1,0.00048828125,-0.001116037368774414,1024
-0.002611051,512,43.99829912185669,2.8376186,26,0.0006233186,360.22864,1.4602290584030115,2,0.0012207031,-0.0011671781539916992,2048
-0.00061753555,768,82.21938943862915,2.838393,27,0.0008497068,345.04425,1.255885309781989,3,0.0017089844,0.0005274415016174316,3072
-0.00020957063,1024,118.79177260398865,2.8390281,27,0.00020144251,210.04422,0.7647272765663181,4,0.00024414062,0.004204094409942627,4096
-0.0006077535,1280,155.99499464035034,2.8397405,25,0.0009506473,212.55959,1.0066439145571926,5,0.0009765625,0.003955662250518799,5120
-0.001298033,1536,195.76683163642883,2.8399334,21,0.00028420286,201.94553,0.9031012304333009,6,0.0,0.0062580108642578125,6144
-3.4258555e-05,1792,244.07842707633972,2.8399718,23,0.00026898598,211.75443,1.1671801426337152,7,0.0,0.007095694541931152,7168
-0.0010413248,2048,286.86876583099365,2.8401523,24,0.0004090924,206.55052,1.4979165831389303,8,0.00048828125,0.004660487174987793,8192
0.00031606574,2304,329.41096591949463,2.8398209,26,0.000266157,230.99953,1.2089737553076907,9,0.0,0.005466163158416748,9216
-0.00072803727,2560,367.89227271080017,2.8399088,25,0.00030020336,218.49461,1.0919194396782874,10,0.00024414062,0.008533477783203125,10240
0.0006432939,2816,408.6009087562561,2.8405306,25,0.000210811,151.64966,0.9020657283158297,11,0.0,0.005319774150848389,11264
-9.519479e-05,3072,449.22584772109985,2.8408418,27,0.00017905541,327.20584,2.542046028030593,12,0.0,0.008751213550567627,12288
-8.0831e-05,3328,485.88808250427246,2.8404942,26,5.3723496e-05,247.66275,1.2475340798596422,13,0.0,0.009162485599517822,13312
-0.0009025215,3584,524.6161353588104,2.8402832,26,0.00012988964,269.6563,1.3869556801766656,14,0.0,0.009962499141693115,14336
-0.0009078497,3840,563.1546084880829,2.840393,23,0.00027147154,236.42123,1.001988680643048,15,0.0,0.006087124347686768,15360
-0.00049925793,4096,607.4901144504547,2.840409,25,0.00020931363,420.3755,0.5590834790257675,16,0.0,0.006373107433319092,16384
-0.00094850315,4352,647.7015092372894,2.8404007,25,0.0002131486,365.92563,1.5573348013656036,17,0.0,0.002870023250579834,17408
-0.0004452352,4608,687.6485297679901,2.8403983,23,0.00042522876,715.527,-0.6369178442315697,18,0.0,0.006632745265960693,18432
-8.293631e-05,4864,730.7084279060364,2.8404398,25,2.322868e-05,275.11758,1.2954205237914365,19,0.0,0.004944324493408203,19456
0.00059735565,5120,771.4547562599182,2.8404899,27,0.00025871105,306.7802,1.365790718568891,20,0.0,0.009328246116638184,20480
-0.00070036796,5376,808.8117825984955,2.8403764,25,6.937903e-05,416.3542,1.4580497307022786,21,0.0,0.00490260124206543,21504
-0.0010064794,5632,849.4131691455841,2.8405445,25,0.0002162813,408.35718,0.9609895513157565,22,0.0,0.012523949146270752,22528
-0.0003615612,5888,890.1195514202118,2.840649,23,0.0004733791,251.71492,1.0002055029876715,23,0.0,0.005785703659057617,23552
-0.00045744336,6144,933.7375023365021,2.8405797,25,8.912651e-05,681.9382,2.5096320659518887,24,0.0,-0.007706403732299805,24576
-0.0012449201,6400,973.1818268299103,2.8404155,25,0.00026276615,476.78546,1.158292680912029,25,0.0,0.021224498748779297,25600
-0.0004262621,6656,1013.3060932159424,2.8403122,23,7.555891e-05,419.0373,1.9139238154107503,26,0.0,0.006522536277770996,26624
-0.0010309763,6912,1057.2491080760956,2.8401945,26,0.00010947299,562.16437,2.3791603801804007,27,0.0,0.008285164833068848,27648
